Date,Close,High,Low,Open,Volume,Daily_Return,Log_Return
1965-01-06,1263.989990234375,1263.989990234375,1263.989990234375,1263.989990234375,0,0.004985226980012802,0.004972841880624715
1965-01-07,1274.27001953125,1274.27001953125,1274.27001953125,1274.27001953125,0,0.008132998976494221,0.008100104374469959
1965-01-08,1286.4300537109375,1286.4300537109375,1286.4300537109375,1286.4300537109375,0,0.009542745252815843,0.009497500868685189
1965-01-12,1288.5400390625,1288.5400390625,1288.5400390625,1288.5400390625,0,0.0016401866121487085,0.001638842975097069
1965-01-13,1281.6700439453125,1281.6700439453125,1281.6700439453125,1281.6700439453125,0,-0.005331611675944425,-0.005345875439297441
1965-01-14,1289.5,1289.5,1289.5,1289.5,0,0.006109182384090639,0.006090596985372392
1965-01-18,1271.6800537109375,1271.6800537109375,1271.6800537109375,1271.6800537109375,0,-0.013819268157473807,-0.013915643161797747
1965-01-19,1270.3399658203125,1270.3399658203125,1270.3399658203125,1270.3399658203125,0,-0.0010537932766299107,-0.0010543489071456118
1965-01-20,1268.8800048828125,1268.8800048828125,1268.8800048828125,1268.8800048828125,0,-0.0011492678942500723,-0.0011499288090237295
1965-01-21,1270.4599609375,1270.4599609375,1270.4599609375,1270.4599609375,0,0.0012451579728640638,0.001244383406580287
1965-01-22,1261.8299560546875,1261.8299560546875,1261.8299560546875,1261.8299560546875,0,-0.006792819252992577,-0.006815995463863054
1965-01-25,1249.719970703125,1249.719970703125,1249.719970703125,1249.719970703125,0,-0.009597161086131067,-0.009643510624301192
1965-01-26,1248.050048828125,1248.050048828125,1248.050048828125,1248.050048828125,0,-0.001336236848372141,-0.0013371304089240062
1965-01-27,1258.2099609375,1258.2099609375,1258.2099609375,1258.2099609375,0,0.008140628750357148,0.008107672567356125
1965-01-28,1247.199951171875,1247.199951171875,1247.199951171875,1247.199951171875,0,-0.00875053457486652,-0.008789045326911006
1965-01-29,1242.27001953125,1242.27001953125,1242.27001953125,1242.27001953125,0,-0.003952799738320079,-0.003960632699437133
1965-02-01,1242.8299560546875,1242.8299560546875,1242.8299560546875,1242.8299560546875,0,0.00045073656663530137,0.0004506350154231342
1965-02-02,1238.75,1238.75,1238.75,1238.75,0,-0.003282795071691935,-0.003288195265157773
1965-02-03,1248.030029296875,1248.030029296875,1248.030029296875,1248.030029296875,0,0.0074914464556004035,0.007463524932290033
1965-02-04,1261.5999755859375,1261.5999755859375,1261.5999755859375,1261.5999755859375,0,0.010873092770618431,0.010814405720674174
1965-02-05,1263.5899658203125,1263.5899658203125,1263.5899658203125,1263.5899658203125,0,0.0015773543697563674,0.001576111652983997
1965-02-08,1258.9300537109375,1258.9300537109375,1258.9300537109375,1258.9300537109375,0,-0.0036878356392691103,-0.0036946524698481115
1965-02-09,1251.6800537109375,1251.6800537109375,1251.6800537109375,1251.6800537109375,0,-0.005758858467656114,-0.005775504632450685
